model_name,mean_loss,mean_ll,std_loglikelihood,mean_context_ll,std_context_ll,mean_mse
 CNP,2.8894,-2.8894,0.0665149607231336,-2.6794,0.03639010854614201,0.9868
 NP,2.894,-2.894,0.1583249822359062,-2.5676,0.04332943572215089,0.9742
 ANP,4.1216,-4.1216,0.5287784413154533,-1.8009999999999997,0.19530488985173916,0.6651999999999999
 ANP_variational,3.3065999999999995,-3.3065999999999995,1.3031157431325888,2.25,0.0770142843893261,0.44139999999999996
 ANP_weibull_300,1.7472,-1.7472,0.44080807615106143,2.42,0.013841965178398733,0.4378
